"mu_alpha" "mu_beta" "mu_delta" "sigma_alpha" "sigma_beta" "sigma_delta" "sigma_epsilon"
0.888453934201559 5.72081883911748 3.86222533438874 0.370477025516266 0.300561202102729 0.362322101785119 0.228833721909099
0.709251667589076 4.30524247887212 3.82480705696149 0.214013068289276 0.43500287652397 0.368858976559 0.202249707418173
0.699169954547025 4.36579936941561 3.937236238426 0.288498375321007 0.45254496154956 0.545144298508066 0.189046705015589
0.525898371309738 4.69281671409471 3.80753487873955 0.340115611914479 0.504251616928313 0.404610071270152 0.182628710924365
0.509099165203597 4.83207907819792 3.89109169412253 0.349167453488545 0.444047377691737 0.429827942708963 0.183705230651645
0.577624619361329 5.17862458961153 4.09954373709877 0.222388861353399 0.415218978691917 0.445148474006713 0.196828750833153
0.737521531547701 5.5560381200385 2.70151868536088 0.274077507402696 0.289939799874271 0.332160834296672 0.186971827681106
0.775901336385803 5.64705054185162 2.69754007080363 0.188948696835883 0.211248061017321 0.869953155027502 0.192766488634777
0.759464442695419 5.8098727302238 2.5358610054899 0.305967477330572 0.479775508715652 0.949499214583867 0.211727659482006
0.736549807161943 5.60592132465336 2.53178334158931 0.23684285593559 0.259433627783357 0.956745236465336 0.22143059858453
0.80374207013364 5.99905579777177 2.24815334169754 0.205650955533884 0.3601252331354 0.780076099198604 0.182815240374689
0.771037970264617 5.82186611026296 2.71344845059542 0.25592648543874 0.478307523864416 0.485269658982278 0.199095143138004
0.886656381724545 5.40219400206209 1.96315922578589 0.342187714519596 0.510416271661577 1.08631387731496 0.23019549835575
0.793261843981221 5.29539476916715 2.73737095696512 0.177898542933089 0.639062580114011 0.650952895958025 0.165560319559428
0.791128305657682 4.99816904138411 2.62383295628961 0.196476200758799 0.603037261236673 0.924469870397837 0.16060571857831
0.7563705368725 5.10117643399526 3.59501831648442 0.231003819509723 0.764049326730317 0.547100519338256 0.178894618299071
0.861823739496756 4.77572930313943 3.52262197048372 0.94381673088724 0.326959392158157 0.848197088375424 0.214986092801418
0.556747825420855 4.72145190817773 3.1150204834687 0.670924464342695 0.33601397153252 0.699514536114336 0.214775313992781
0.681498898837838 5.18373063252147 3.26979852046553 0.200483142052156 0.386262701824984 0.940047647343516 0.197460997317846
0.680312630178368 5.26965694626346 2.66735500965197 0.334974217324359 0.403720873839678 1.27155407439591 0.201791905907925
0.83698297317449 5.35256837334959 2.69868021630358 0.195487036213793 0.348195109499971 1.13473898777808 0.210460940077037
0.942792801101829 5.64852232326369 3.12826925254321 0.453059454955392 0.26677335038346 1.111702214893 0.177694697633376
0.780718760072569 5.52377721091066 2.36101750256897 0.13985583949647 0.207773587356037 1.17245432595424 0.216473736412879
0.851877640496172 5.69132690150215 2.79308426863978 0.405880787235441 0.309267481419476 0.46322483643176 0.220895696321097
0.678785417446017 5.45929627975157 2.45629024432007 0.209609952159498 0.955581902207354 0.721696404333778 0.212465897754636
0.823385279114324 5.78806310639057 2.30337251923504 0.283342460061724 0.917835613105262 1.51572251568966 0.198194722099503
0.839112620275057 5.31574234280324 1.92452735593657 0.229762450182706 0.612201440303863 0.538307093655179 0.196731717332434
0.781592037401068 5.82076616419234 1.83288309376449 0.397941496211695 0.613047892932043 0.269187251788344 0.205158577676936
0.840994583543795 5.56339977788521 1.95282451573485 0.312072385939746 0.461856055820273 0.503357148564758 0.208950801202738
0.754056341299388 5.888264728887 1.81795807700004 0.273499372171735 0.419478416638544 0.531688148806282 0.198918426526419
0.708078422301974 5.39379481478969 3.14924505962899 0.243819927630795 0.652467381287814 0.705696833466761 0.222358495046128
0.824500897732449 5.70998315624273 2.83587367468515 0.316635173029373 0.510406180019517 0.484521538325126 0.247399638964255
0.80957377722872 5.31085092648838 2.39795205090362 0.276222853178295 0.476653340070083 0.621752502184551 0.226722989214992
0.610108527951449 5.35628161492085 2.48750881350649 0.256000166910915 0.502765838456022 0.385606080181685 0.204625908326766
0.838876442828053 5.40454786726614 2.9587511509169 0.204810557214584 0.401999707836917 0.313761886516881 0.202792601734502
0.655402536976829 5.37867768278516 3.01726392906842 0.338488416384924 0.538266720024436 0.374949060195371 0.225682886544474
0.677553674371456 5.82342713043496 3.23020877241575 0.317391129282739 0.371120878588258 0.42057734079498 0.191997550621616
0.785057662460176 5.50485477112627 2.41971380868898 0.195419539826315 0.595874397118653 0.365543469268549 0.206526589815084
0.760177280712034 5.8163574384461 3.04707244025128 0.304607068627176 0.307956663868843 0.271673027445546 0.218758132040001
0.730910350696565 5.65020932366323 3.07853287288383 0.314533777529332 0.294090617436548 0.225113336707352 0.234859830984295
0.800064215230138 5.52442964827712 3.19320924948632 0.156796238520966 0.401140507994449 0.492238320654128 0.184951872814021
0.719534516626547 5.71741650648036 2.84405655023907 0.356536894006052 0.319438426644936 0.188012961065387 0.188572109111394
0.699270913111909 5.9641744796947 2.68547412667668 0.189280498103959 0.389425374728135 0.208109375435095 0.18200171507586
0.839440808629271 5.81345345148906 2.94221462549529 0.238493635857568 0.399339465455957 0.283282735594438 0.205591490877791
0.705675907348648 5.50468613536016 2.58517091088408 0.22274482764694 0.513453588540485 0.437876269102296 0.227507022649886
0.855333281603713 5.60470398304895 2.85345103230914 0.277445495897359 0.370155384057428 0.339193309974026 0.158643630219633
0.735841187469104 5.53351249374684 2.70280041097854 0.282815999654196 0.453863340453718 0.293624631136529 0.212980412559513
0.906932570555387 6.0357710326937 4.01211905989304 0.224627622443157 0.3103438645801 0.309332633392829 0.213341151491428
0.796265553987789 5.44442124471443 3.23695123511461 0.316916749678034 0.501863676625752 0.397979584188417 0.187286422280265
0.851735954686042 5.54497970597935 3.32632239997783 0.246139976176086 0.470674852422402 0.342698315523733 0.1845622046156
0.718651282801454 5.55967665522393 3.54960610468336 0.276261062181552 0.44119645181076 0.30985156981382 0.192327025522141
0.721213917201019 5.71835882252378 3.37441922827581 0.242740487315702 0.453478147048372 0.346230654124831 0.193529809911332
0.68531723567712 5.81427976832158 3.68861504497809 0.237448778111902 0.393174828612694 0.372712727243112 0.192257615343401
0.863871065498748 5.68022804228965 3.77340346874064 0.322779858044988 0.654919108647175 1.04595392671958 0.19675234830261
0.730398963613547 4.98323661031911 4.08226449103187 0.234127373239695 0.407456177991943 0.254999973585829 0.219449127610107
0.665457441514451 5.09839543920706 2.80340522463133 0.406739346793454 1.14409878587298 0.530702994215111 0.197834547245886
0.76084042596328 6.26343184232828 3.30081338232309 0.206524794935584 0.659185097159144 0.398229081146569 0.218002618552079
0.768532743860356 6.20633057565502 2.96799070885468 0.224475866837114 0.658453734587642 0.374672425358509 0.215362081622425
0.871174519825613 6.10639525580088 3.28140533678416 0.16469798993789 0.292647767509479 0.563215976090524 0.233558787572249
0.871293047932188 6.08076018210954 3.38856147726339 0.178764998181185 0.357713288462407 0.602962486358262 0.237552821920743
0.865135561789825 5.01796716671202 3.42677793595626 0.441133594994471 0.457928756629257 0.364366700314139 0.186845007424487
0.643032414877029 5.42539657858163 3.24862382244581 0.309626232143011 0.631490168575781 0.43840272909502 0.202992063980887
0.743358495516527 5.38819533255758 3.97527173456637 0.28178149683359 0.39379260609158 0.32396170636685 0.159751432089786
0.735984141737265 5.4430757016028 3.77889532761265 0.285621831662012 0.286228215623187 0.265049163865638 0.157771556683322
0.709529898107195 5.25094600964921 3.08841371793721 0.570297858424178 0.555888426581676 0.323533499145432 0.190425653363396
0.719945840943265 4.88816611000429 3.55993392036049 0.265727311739947 0.824187660619921 0.483939534550073 0.201170326896706
0.578782644915004 4.93544834372624 3.71976047253182 0.648564803850799 0.57478311840287 0.365949621678225 0.198707601195145
0.659258522116294 4.8618508215079 4.33550046993129 0.228836026376754 0.261722606748846 0.36759305735478 0.190619761121863
0.611348797673899 4.38167688927299 4.65397113588673 0.228237944413502 0.332672333842272 0.37167835013248 0.199126598420784
0.601231963479559 4.92053887811518 4.69526183902814 0.391138055325725 0.516715858151316 0.255416332666029 0.232273908977164
0.841765411813051 5.32976058114625 3.37000563405692 0.268986319231782 0.547812119720196 0.334327586103639 0.182271114583462
0.879412396144526 5.30795264571452 2.88753352269356 0.345036935550991 0.568931980931348 0.33729651283 0.171088021151417
0.80615304843053 5.0809373479959 3.12484823852975 0.216120643797884 0.709000293024631 0.216961584338139 0.194262484129524
0.628209684018143 5.77456679504464 3.54306905866849 0.428589413053617 0.598900199161719 0.371594280484074 0.17851819433607
0.929033242039283 5.93411561904849 2.99574977809906 0.301087177959058 0.867629832120728 0.47903509073907 0.194784536118144
0.79891055674119 5.71213359755364 3.49991655973341 0.295402476813724 0.817813672850071 0.220264699904238 0.160598385209476
0.72996765430498 5.52887087483837 3.62452621078655 0.392083520832578 0.534468823945699 0.280012633423877 0.188295531996947
0.7773733134143 5.2829555017003 3.38475890675749 0.284037740936518 0.560238131801531 0.303153234879761 0.185690399909802
0.768684942785623 5.49744351356179 3.3355305002336 0.232777355283512 0.663923834460779 0.304917716976408 0.216445923808803
